Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,Dispatch Status,Dispatch Date,Delivery Status,Delivery Date
BRU00008051,Toothbrush 4000,2022/12/02,25,5,G82 201QL,GL12 8QB,Order Received,2022/12/02,Unavailable,
BRU00007805,Toothbrush 2000,2022/12/02,62,6,EN1 201NF,EX17 4SJ,Order Received,2022/12/02,Unavailable,
BRU00007680,Toothbrush 4000,2022/12/01,33,6,B19 201AL,GU7 3QQ,Order Received,2022/12/01,Unavailable,
BRU00007742,Toothbrush 4000,2022/12/01,23,7,GU35 200QF,DD4 7BZ,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007915,Toothbrush 4000,2022/12/02,32,9,CF14 201UB,B74 3PB,Order Confirmed,2022/12/02,Unavailable,
BRU00007996,Toothbrush 4000,2022/12/02,19,2,CA7 209EX,CO4 5BB,Order Received,2022/12/02,Unavailable,
BRU00007978,Toothbrush 2000,2022/12/01,84,9,CF64 202WH,DT1 9TL,Order Received,2022/12/01,Unavailable,
BRU00008252,Toothbrush 4000,2022/12/02,19,7,CB11 204TT,GU47 0UY,Order Confirmed,2022/12/02,Unavailable,
BRU00008116,Toothbrush 2000,2022/12/01,74,3,CO6 204HF,B93 9LW,Order Received,2022/12/01,Unavailable,
BRU00008253,Toothbrush 4000,2022/12/02,21,9,DE11 207JA,CF31 1QQ,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007695,Toothbrush 4000,2022/12/01,22,5,CM16 207NB,CM1 1NW,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007997,Toothbrush 4000,2022/12/02,27,4,DY7 206BF,CW2 8RQ,Dispatched,2022/12/03,Unsuccessful,2022/12/04
BRU00007747,Toothbrush 4000,2022/12/02,29,5,IP12 204LF,EN11 9NS,Order Received,2022/12/02,Unavailable,
BRU00007929,Toothbrush 4000,2022/12/02,32,9,CF3 205DG,HU5 5YZ,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00007831,Toothbrush 2000,2022/12/01,72,5,BA5 202SJ,CF5 1FX,Order Received,2022/12/01,Unavailable,
BRU00007833,Toothbrush 4000,2022/12/02,27,8,EX4 208FS,DN15 9TH,Order Received,2022/12/02,Unavailable,
BRU00007812,Toothbrush 4000,2022/12/02,37,1,CO2 207JD,EH13 0JB,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008003,Toothbrush 2000,2022/12/02,53,2,CV7 207QU,EX16 5LD,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007895,Toothbrush 4000,2022/12/02,31,2,EH12 207NE,CT18 7WD,Order Received,2022/12/02,Unavailable,
BRU00007735,Toothbrush 2000,2022/12/01,81,5,AL1 205SF,HA3 6UB,Dispatched,2022/12/01,Delivered,2022/12/03
BRU00008083,Toothbrush 2000,2022/12/01,54,2,EH11 203AD,BD8 9NX,Order Received,2022/12/01,Unavailable,
BRU00008005,Toothbrush 4000,2022/12/02,41,1,BN15 208JF,DN18 5QJ,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007881,Toothbrush 4000,2022/12/02,25,5,CH46 202RX,CF10 5FZ,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00007708,Toothbrush 2000,2022/12/01,92,7,BA13 203XS,DN4 0TY,Order Confirmed,2022/12/01,Unavailable,
BRU00008167,Toothbrush 4000,2022/12/02,25,2,AB39 202ZH,HA5 3WA,Order Confirmed,2022/12/02,Unavailable,
BRU00008010,Toothbrush 2000,2022/12/01,49,2,AB21 200XS,GU1 4PH,Order Confirmed,2022/12/01,Unavailable,
BRU00007885,Toothbrush 2000,2022/12/01,57,9,HX3 208TW,CH41 2SB,Order Received,2022/12/01,Unavailable,
BRU00007689,Toothbrush 4000,2022/12/02,31,9,EN1 201DB,BR1 5AP,Order Confirmed,2022/12/02,Unavailable,
BRU00008043,Toothbrush 2000,2022/12/02,72,5,BD1 202ER,GU51 3BD,Order Confirmed,2022/12/02,Unavailable,
BRU00008119,Toothbrush 4000,2022/12/02,11,9,BN11 201UF,CB23 6GF,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008106,Toothbrush 4000,2022/12/03,29,6,G76 207BP,G67 3HU,Order Confirmed,2022/12/03,Unavailable,
BRU00007718,Toothbrush 2000,2022/12/01,80,5,CM7 205SZ,CH45 3JF,Dispatched,2022/12/01,Delivered,2022/12/02
BRU00007862,Toothbrush 4000,2022/12/02,25,1,B75 206AS,EH47 7JH,Order Received,2022/12/02,Unavailable,
BRU00007905,Toothbrush 4000,2022/12/01,35,2,GL3 204FD,DA11 7DR,Order Received,2022/12/01,Unavailable,
BRU00008105,Toothbrush 4000,2022/12/01,24,5,FY3 207GZ,B11 1PR,Order Received,2022/12/01,Unavailable,
BRU00008237,Toothbrush 4000,2022/12/02,24,9,CM1 202SY,CV8 2RT,Order Received,2022/12/02,Unavailable,
BRU00008062,Toothbrush 4000,2022/12/01,36,6,CB23 207DL,CT19 5SN,Dispatched,2022/12/02,Unsuccessful,2022/12/02
BRU00007926,Toothbrush 4000,2022/12/02,26,7,CT15 207AG,CM13 1YH,Dispatched,2022/12/03,Unsuccessful,2022/12/03
BRU00007683,Toothbrush 2000,2022/12/01,76,1,EH48 203SX,CT14 9TB,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00007965,Toothbrush 2000,2022/12/02,86,1,CB9 200BT,DN31 3ET,Order Confirmed,2022/12/02,Unavailable,
BRU00008127,Toothbrush 2000,2022/12/02,79,9,BS7 200PA,BL0 9LW,Order Confirmed,2022/12/02,Unavailable,
BRU00007879,Toothbrush 2000,2022/12/01,78,2,FY1 206EB,BD20 6LB,Order Confirmed,2022/12/01,Unavailable,
BRU00007846,Toothbrush 4000,2022/12/01,33,9,DH7 207BN,CF62 8DW,Dispatched,2022/12/02,Unsuccessful,2022/12/03
BRU00008184,Toothbrush 4000,2022/12/02,35,8,CT4 207DS,BD18 3QD,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008161,Toothbrush 4000,2022/12/01,35,9,EN10 206SA,DD1 4LD,Order Received,2022/12/01,Unavailable,
BRU00007806,Toothbrush 2000,2022/12/02,64,7,HA1 202RS,EN5 3HZ,Dispatched,2022/12/02,Delivered,2022/12/04
BRU00008163,Toothbrush 4000,2022/12/02,18,9,B20 202ER,BH21 7HG,Order Confirmed,2022/12/02,Unavailable,
BRU00008032,Toothbrush 4000,2022/12/02,36,5,G72 208NX,HA5 2LT,Dispatched,2022/12/02,Delivered,2022/12/03
BRU00008142,Toothbrush 4000,2022/12/02,16,2,HU12 200SE,CB21 5DE,Order Confirmed,2022/12/02,Unavailable,
