Order Number,Toothbrush Type,Order Date,Customer Age,Order Quantity,Delivery Postcode,Billing Postcode,is_first,Dispatch Status,Dispatched Date,Delivery Status,Delivery Date
BRU00010961,Toothbrush 2000,2022-12-01 22:40:17.435812000,62,9,CF43%204BG,HD2 1TB,1,Order Received,2022-12-01 22:52:18.389531200,,
BRU00011111,Toothbrush 2000,2022-12-02 04:47:22.138402400,84,5,BA20%202SX,BS22 8FB,1,Order Confirmed,2022-12-02 05:52:52.472483600,,
BRU00011358,Toothbrush 2000,2022-12-02 08:39:19.829876800,73,9,B30%202JR,CM16 7PS,1,Dispatched,2022-12-02 16:11:03.102587200,Delivered,2022-12-03 23:55:37.906828000
BRU00011551,Toothbrush 4000,2022-12-02 12:48:28.483990400,15,1,BA2%204LL,DN35 7UH,1,Dispatched,2022-12-02 19:58:47.773796000,Delivered,2022-12-03 21:13:36.401493200
BRU00011720,Toothbrush 4000,2022-12-02 10:32:12.162532000,29,9,EX32%208BN,B33 9LR,1,Order Received,2022-12-02 10:44:11.883564400,,
BRU00010859,Toothbrush 4000,2022-12-01 22:13:21.861893599,27,1,HA4%206UB,DA11 0AW,1,Order Confirmed,2022-12-01 23:12:00.868906399,,
BRU00011766,Toothbrush 2000,2022-12-01 19:37:25.149392800,83,9,CM15%208RU,G75 8JZ,1,Order Confirmed,2022-12-01 20:53:30.459599200,,
BRU00011742,Toothbrush 4000,2022-12-02 19:59:04.344723199,29,8,HR6%208BQ,CT16 1HR,1,Order Received,2022-12-02 20:10:40.223365999,,
BRU00011239,Toothbrush 2000,2022-12-01 22:13:23.191436400,78,2,BA11%203LR,CT16 1PX,1,Dispatched,2022-12-02 05:18:45.754572000,Delivered,2022-12-03 11:49:45.777112800
BRU00011448,Toothbrush 2000,2022-12-02 11:14:43.392552400,76,8,EN6%202LX,BB1 2QY,1,Order Confirmed,2022-12-02 12:34:53.599292800,,
BRU00011577,Toothbrush 4000,2022-12-02 01:57:54.518154800,25,1,BB4%208TX,GU6 8TQ,1,Order Confirmed,2022-12-02 02:59:45.137406800,,
BRU00011567,Toothbrush 2000,2022-12-02 05:10:00.453906800,59,1,CF11%201TQ,CV32 5FL,1,Order Confirmed,2022-12-02 06:13:44.063385200,,
BRU00011692,Toothbrush 2000,2022-12-01 22:53:44.028472800,76,9,BB2%206HJ,B76 1GB,1,Order Received,2022-12-01 23:05:37.723609200,,
BRU00011399,Toothbrush 4000,2022-12-02 17:44:18.640008399,32,6,BN50%208AR,CH42 1QL,1,Order Received,2022-12-02 17:55:22.513023999,,
BRU00011438,Toothbrush 4000,2022-12-02 02:20:59.891917600,25,2,GU8%205PY,CF63 1QQ,1,Dispatched,2022-12-02 10:08:07.050977200,Delivered,2022-12-03 12:17:31.537954000
BRU00011669,Toothbrush 4000,2022-12-02 03:12:21.856456400,17,8,EX16%206SN,G71 7DN,1,Order Confirmed,2022-12-02 04:14:26.036678000,,
BRU00011632,Toothbrush 2000,2022-12-02 06:54:19.823052000,74,7,B15%203HG,HS7 5LF,1,Order Received,2022-12-02 07:06:25.266633600,,
BRU00011154,Toothbrush 2000,2022-12-02 01:05:25.311235599,57,3,BN20%207RB,BA2 0DX,1,Order Received,2022-12-02 01:17:14.375954799,,
BRU00011553,Toothbrush 4000,2022-12-02 01:23:20.763163200,21,6,DN3%202HT,CH62 1AE,1,Order Confirmed,2022-12-02 02:25:28.371027600,,
BRU00011676,Toothbrush 2000,2022-12-01 23:27:27.841420000,71,8,HU17%207HB,BH12 2EG,1,Dispatched,2022-12-02 07:03:15.586303600,Delivered,2022-12-03 15:36:43.137726399
BRU00011204,Toothbrush 2000,2022-12-01 21:08:31.512869600,71,4,DY3%202AW,CA7 8JF,1,Order Received,2022-12-01 21:20:57.917152400,,
BRU00011759,Toothbrush 4000,2022-12-02 20:47:38.393522400,37,5,DG11%203AX,BR1 3QZ,1,Order Received,2022-12-02 20:59:58.032012000,,
BRU00010900,Toothbrush 4000,2022-12-02 11:49:25.914645600,30,6,GL7%201ED,FY2 9PF,1,Order Confirmed,2022-12-02 13:00:39.888246000,,
BRU00011260,Toothbrush 2000,2022-12-01 16:37:17.212119600,105,6,CF5%205HE,BA3 2UJ,1,Order Confirmed,2022-12-01 17:39:41.796450000,,
BRU00010881,Toothbrush 2000,2022-12-02 00:56:22.339846000,56,7,BD19%206LB,CH65 4BY,1,Order Confirmed,2022-12-02 02:14:43.130130400,,
BRU00011202,Toothbrush 4000,2022-12-01 20:46:52.483016400,23,5,AL1%203LH,CH42 1QN,1,Order Confirmed,2022-12-01 21:43:10.705952400,,
BRU00011530,Toothbrush 4000,2022-12-02 15:18:44.817087600,10,6,G20%200DF,BB18 6PF,1,Order Received,2022-12-02 15:30:09.566917200,,
BRU00011748,Toothbrush 2000,2022-12-01 22:21:25.098019200,95,7,GU24%209EG,BN5 9YU,1,Order Received,2022-12-01 22:34:22.668996000,,
BRU00011115,Toothbrush 4000,2022-12-01 20:41:26.634627600,19,9,BR6%207NE,IP23 8DB,1,Dispatched,2022-12-02 04:17:16.510419600,Delivered,2022-12-03 10:38:58.292347200
BRU00011518,Toothbrush 4000,2022-12-02 00:56:56.599729200,22,3,BD16%203FA,GL17 9JP,1,Order Confirmed,2022-12-02 01:44:45.986857200,,
BRU00011563,Toothbrush 4000,2022-12-02 03:47:00.418492400,30,1,CO16%209HU,CH1 5JG,1,Order Received,2022-12-02 03:59:22.471379600,,
BRU00011415,Toothbrush 4000,2022-12-02 00:49:00.082157200,26,1,G72%209QL,CM9 6ER,1,Order Confirmed,2022-12-02 01:57:48.971826400,,
BRU00011646,Toothbrush 4000,2022-12-02 11:30:07.670778800,39,4,B62%208AP,BN9 9FB,1,Order Received,2022-12-02 11:42:42.722913200,,
BRU00010875,Toothbrush 4000,2022-12-02 04:56:08.823112400,29,1,DY9%207LA,DL5 5AX,1,Order Confirmed,2022-12-02 05:48:48.788790800,,
BRU00010969,Toothbrush 2000,2022-12-02 01:05:31.437714400,74,6,G76%208DP,GU15 4NG,1,Dispatched,2022-12-02 07:27:38.081040400,Delivered,2022-12-03 09:23:48.969077200
BRU00011605,Toothbrush 4000,2022-12-02 16:24:40.199556400,24,2,B45%200BE,DE6 3EZ,1,Dispatched,2022-12-02 23:45:04.924135600,Delivered,2022-12-04 05:37:59.706388000
BRU00011251,Toothbrush 4000,2022-12-02 07:21:49.180034800,16,2,BN16%203JH,GL1 4DF,1,Order Confirmed,2022-12-02 08:28:47.949149200,,
